ID,Nombre,Peso Original,Fecha Creacion,Suma Peso Renditions
1165451058001,"La Nasa muestra primeras imágenes de asteroide gigante Vesta",4753122,2011-09-17,9527440.0
1165821074001,"Por el medio de la calle 2011",10774077,2011-09-17,63824283.0
1168009243001,"Manual de Estilo de EFE",6068038,2011-09-19,12027137.0
1168142446001,"Alí Rodríguez afirma que no hay racionamiento eléctrico",2277432,2011-09-19,0.0
1168359214001,"Científicos prueban vacuna contra el VIH",2787671,2011-09-19,5702537.0
1168366183001,"Alivian embalse del Guri",6925569,2011-09-19,0.0
1168366218001,"Situacion del Guri Marzo 2010",3567639,2011-09-19,0.0
1168397643001,"La Novicia Rebelde",10798304,2011-09-19,62523691.0
1168405983001,"Qué pasa en el Guri",3804598,2011-09-19,0.0
1168406011001,"Campeones de la Copa América",14031963,2011-09-19,0.0
1168406041001,"Futbolistas que brillaron en la Copa América",18018412,2011-09-19,0.0
1168419010001,"Fanáticos confiaron en la Vinotinto",9947881,2011-09-19,0.0
1168419021001,"Elba los dirige y ellos se juntan",23983280,2011-09-19,0.0
1168419075001,"La sección Cocina de Nury se refresca",9251369,2011-09-19,87469711.0
1168471663001,"Más allá de la Cocina de Nury",8163955,2011-09-19,78297328.0
1168471682001,"Gianluca Cardone, el arma secreta",9889950,2011-09-19,0.0
1168474341001,"Caraqueños opinan de la Misión Vivienda",16439414,2011-09-19,0.0
1168557187001,"Zulma Bolívar admite que en Caracas cabe más gente",21374418,2011-09-19,0.0
1168557204001,"Edgar Quintero con grandes expectativas para Italia",16860913,2011-09-19,0.0
1168557212001,"Luis Solórzano, el entrenador de murrallas",10910632,2011-09-19,0.0
1168557219001,"Vinotinto se fortaleció de cara al Mundial de Italia",5916423,2011-09-19,0.0
1174488052001,"Moda para hombres divertidos",5634861,2011-09-21,48217906.0
1175253899001,"Concierto Camila",11516099,2011-09-22,68083770.0
1176312966001,"Latinoamérica alza su voz como zona emergente en la ONU",7275087,2011-09-22,14486468.0
1176541736001,"Discurso de Ahmadinejad en la ONU",13119605,2011-09-22,66824065.0
1176656907001,"El FMI no depende de los mercados",3480436,2011-09-22,7105638.0
1176695657001,"Penalti de Ronald Vargas",6780685,2011-09-22,0.0

1178281589001,"Norelys Rodríguez empieza la fiesta",10753725,2011-09-23,38383341.0
1178328416001,"Llegada del Presidente Chávez de Cuba (23/09/11)",105562015,2011-09-23,615508815.0
1178586601001,"Actuación criolla en el Mundial de Apnea",10473164,2011-09-23,99786013.0
1178586653001,"Breakdance toma plaza Brión de Chacaito",7001045,2011-09-23,65683043.0
1179167752001,"Satélite UARS cayó en el Océano Pacífico",3960104,2011-09-24,7860843.0
1180209047001,"Villa Esperanza celebra su sueño con goles",10041939,2011-09-24,96278681.0
1181393288001,"Dunga elogió el trabajo de la Vinotinto en la Copa América",4525538,2011-09-25,9043048.0
1183172388001,"El Metal en Rock in Rio",3740851,2011-09-26,7522722.0
1183385306001,"Aveledo selló el compromiso de unidad con el país",9907659,2011-09-26,89218088.0
1183608285001,"Corazón a prueba de fallas",6339348,2011-09-26,12878085.0
1183661210001,"Vivir con miedo Las Palmas",5254959,2011-09-26,49719260.0
1184331383001,"Detienen a narcos de República Dominicana, Perú, Brasil, Colombia y Venezuela",3184355,2011-09-27,6297590.0
1185216021001,"Concierto de Delfín hasta el fin",8526657,2011-09-27,77753948.0
1185569826001,"Alocución de Nicolás Maduro en la ONU",15806674,2011-09-27,93778946.0
1185569850001,"Cumbre de gobernadores de la unidad",11427615,2011-09-27,109109367.0
1185598085001,"Chávez regresa tras segunda fase de quimioterapia (14/08/11)",18499110,2011-09-27,0.0
1185609962001,"Vivir con miedo",5259464,2011-09-27,49676007.0
1185678601001,"Chávez: El año que viene voy de candidato a la presidencia (28/07/11)",15166704,2011-09-27,0.0
1187404172001,"Cavidea fija posición sobre impacto de ley de costosy precios justos",12981864,2011-09-28,28679818.0
1187411040001,"Arroz negro de calamares",26917805,2011-09-28,254217179.0
1187545065001,"Capitalinos opinan acerca de la expropiación de Conferry",7973191,2011-09-28,75806123.0
1187621841001,"Chávez pide permiso para tratamiento en Cuba (15/07/11)",18503304,2011-09-28,0.0
1187642946001,"Asamble Nacional aprueba permiso al Presidente (16/07/11)",5584439,2011-09-28,0.0
1187724961001,"Chávez asiste a misa(13/07/11)",16065277,2011-09-28,0.0
1187725038001,"Chávez llega a Venezuela 04/07/11",16601334,2011-09-28,0.0
1187725039001,"Imágenes de rehabilitación de Chávez 03/07/11",19110924,2011-09-28,0.0
1187725052001,"Mesa de la unidad fijo posición por salud de Chávez  01/07/11",9944301,2011-09-28,0.0
1187756258001,"Chávez visitó la Academia Militar (07/07/11)",10450181,2011-09-28,0.0
